Country,Temperature
Afghanistan,14.476291899362078
Albania,12.760632546578288
Algeria,22.063456920002665
American Samoa,25.880580945754758
Andorra,11.142018155434375
Angola,22.00935630989798
Anguilla,25.8324508780751
Antarctica,-24.706650000000003
Antigua and Barbuda,25.468264134761647
Argentina,14.615599597585513
Armenia,8.206757399087255
Aruba,27.187210843413055
Australia,21.787513513513513
Austria,6.092591025161192
Azerbaijan,11.643211846536204
Bahamas,23.883700329822503
Bahrain,26.16756480663269
Baker Island,25.016947550439475
Bangladesh,23.822393615414178
Barbados,25.62307305233431
Belarus,5.889211566366604
Belgium,9.313157138322325
Belize,25.077488320034586
Benin,27.12556412297801
Bhutan,12.606810621109867
Bolivia,20.17648660384612
"Bonaire, Saint Eustatius and Saba",26.423447411870594
Bosnia and Herzegovina,10.008409598346924
Botswana,21.27699816996224
Brazil,23.63639061375772
British Virgin Islands,25.637592125908725
Bulgaria,10.836919978320157
Burkina Faso,28.107874857441285
Burma,23.359129339187252
Burundi,20.29691149870801
Cambodia,26.409647442070757
Cameroon,24.417695883692826
Canada,-3.5135135397806727
Cape Verde,23.80771089601047
Cayman Islands,26.738577155172415
Central African Republic,25.09950544355844
Chad,26.408347107911176
Chile,9.274362836438923
China,6.830976073128018
Christmas Island,24.300478798917965
Colombia,24.59112609918978
Comoros,25.896710244727522
Congo,23.91753648547154
Congo (Democratic Republic of the),23.073716007974348
Costa Rica,24.81402544745675
Croatia,10.771572267473614
Cuba,25.202281264015625
Cyprus,18.895426738686687
Czech Republic,7.774305507390318
Denmark,-16.066519751305954
Denmark (Europe),7.8259246659976
Djibouti,28.455203610056486
Dominica,25.316008331522127
Dominican Republic,24.61995585269191
Ecuador,21.48899642855775
Egypt,22.276762562715486
El Salvador,24.81660705319241
Equatorial Guinea,24.895482735768493
Eritrea,26.943405390471916
Estonia,4.8760845675966165
Ethiopia,23.003636251006043
Falkland Islands (Islas Malvinas),6.058231365390506
Faroe Islands,7.023507953873499
Federated States of Micronesia,27.02888850958682
Fiji,24.437963836795912
Finland,1.213651603266973
France,12.838089487645817
France (Europe),10.471632230573245
French Guiana,25.020948326339212
French Polynesia,26.01132874426495
French Southern and Antarctic Lands,4.840236874236874
Gabon,24.503888050113694
Gambia,26.590769623149015
Gaza Strip,18.745907014553715
Georgia,8.317383439929756
Germany,8.032879155542496
